episode: 193 , total_reward_episode: -1 , reward: -0.319588
episode: 194 , total_reward_episode: -1 , reward: -0.323077
episode: 195 , total_reward_episode: 1 , reward: -0.316327
episode: 196 , total_reward_episode: -1 , reward: -0.319797
episode: 197 , total_reward_episode: 1 , reward: -0.313131
episode: 198 , total_reward_episode: 1 , reward: -0.306533
episode: 199 , total_reward_episode: -1 , reward: -0.31
episode: 200 , total_reward_episode: -1 , reward: -0.313433
episode: 201 , total_reward_episode: 1 , reward: -0.306931
episode: 202 , total_reward_episode: -1 , reward: -0.310345
episode: 203 , total_reward_episode: -1 , reward: -0.313725
episode: 204 , total_reward_episode: -1 , reward: -0.317073
episode: 205 , total_reward_episode: -1 , reward: -0.320388
episode: 206 , total_reward_episode: -1 , reward: -0.323671
episode: 207 , total_reward_episode: -1 , reward: -0.326923
episode: 208 , total_reward_episode: 1 , reward: -0.320574
episode: 209 , total_reward_episode: 1 , reward: -0.314286
episode: 210 , total_reward_episode: 1 , reward: -0.308057
episode: 211 , total_reward_episode: -1 , reward: -0.311321
episode: 212 , total_reward_episode: 1 , reward: -0.305164
episode: 213 , total_reward_episode: -1 , reward: -0.308411
episode: 214 , total_reward_episode: -1 , reward: -0.311628
episode: 215 , total_reward_episode: -1 , reward: -0.314815
episode: 216 , total_reward_episode: -1 , reward: -0.317972
episode: 217 , total_reward_episode: -1 , reward: -0.321101
episode: 218 , total_reward_episode: -1 , reward: -0.324201
episode: 219 , total_reward_episode: -1 , reward: -0.327273
episode: 220 , total_reward_episode: -1 , reward: -0.330317
episode: 221 , total_reward_episode: -1 , reward: -0.333333
episode: 222 , total_reward_episode: 1 , reward: -0.327354
episode: 223 , total_reward_episode: 1 , reward: -0.321429
episode: 224 , total_reward_episode: -1 , reward: -0.324444
episode: 225 , total_reward_episode: -1 , reward: -0.327434
episode: 226 , total_reward_episode: -1 , reward: -0.330396
episode: 227 , total_reward_episode: -1 , reward: -0.333333
episode: 228 , total_reward_episode: 1 , reward: -0.327511
episode: 229 , total_reward_episode: -1 , reward: -0.330435
episode: 230 , total_reward_episode: -1 , reward: -0.333333
episode: 231 , total_reward_episode: 1 , reward: -0.327586
episode: 232 , total_reward_episode: 1 , reward: -0.321888
episode: 233 , total_reward_episode: 1 , reward: -0.316239
episode: 234 , total_reward_episode: 1 , reward: -0.310638
episode: 235 , total_reward_episode: -1 , reward: -0.313559
episode: 236 , total_reward_episode: 1 , reward: -0.308017
episode: 237 , total_reward_episode: 1 , reward: -0.302521
episode: 238 , total_reward_episode: 1 , reward: -0.297071
episode: 239 , total_reward_episode: -1 , reward: -0.3
episode: 240 , total_reward_episode: -1 , reward: -0.302905
episode: 241 , total_reward_episode: 1 , reward: -0.297521
episode: 242 , total_reward_episode: 1 , reward: -0.292181
